Year,OverallRank,Country,Region,HappinessScore,Economy,Family,Health,Freedom,GovernmentCorruption,Generosity
2016,110,Bangladesh,"Southern Asia",4.643,0.542,0.247,0.53,0.398,0.126,0.191
2015,109,Bangladesh,"Southern Asia",4.694,0.398,0.431,0.602,0.408,0.126,0.212
2018,121,"Burkina Faso","Sub-Saharan Africa",4.424,0.314,1.097,0.254,0.312,0.128,0.175
2015,152,"Burkina Faso","Sub-Saharan Africa",3.587,0.258,0.852,0.271,0.395,0.128,0.217
2019,145,Burundi,"Sub-Saharan Africa",3.775,0.046,0.447,0.38,0.22,0.18,0.176
2017,119,Ethiopia,"Sub-Saharan Africa",4.46,0.339,0.865,0.353,0.409,0.165,0.313
2016,115,Ethiopia,"Sub-Saharan Africa",4.508,0.293,0.379,0.346,0.367,0.172,0.295
2019,119,Georgia,"Central and Eastern Europe",4.519,0.886,0.666,0.752,0.346,0.164,0.043
2018,128,Georgia,"Central and Eastern Europe",4.34,0.853,0.592,0.643,0.375,0.215,0.038
2016,126,Georgia,"Central and Eastern Europe",4.252,0.838,0.192,0.64,0.325,0.319,0.068
2015,130,Georgia,"Central and Eastern Europe",4.297,0.742,0.386,0.729,0.406,0.383,0.055
2016,136,Haiti,"Latin America and Caribbean",4.028,0.341,0.296,0.275,0.121,0.145,0.48
2015,119,Haiti,"Latin America and Caribbean",4.518,0.267,0.743,0.388,0.244,0.172,0.462
2016,139,"Ivory Coast","Sub-Saharan Africa",3.916,0.555,0.576,0.045,0.407,0.155,0.203
2019,101,Jordan,"Middle East and Northern Africa",4.906,0.837,1.225,0.815,0.383,0.13,0.11
2015,82,Jordan,"Middle East and Northern Africa",5.192,0.902,1.054,0.696,0.407,0.143,0.111
2016,135,Mali,"Sub-Saharan Africa",4.073,0.313,0.863,0.163,0.275,0.136,0.211
2017,123,Mauritania,"Sub-Saharan Africa",4.292,0.648,1.272,0.285,0.096,0.137,0.202
2016,130,Mauritania,"Sub-Saharan Africa",4.201,0.614,0.841,0.286,0.127,0.18,0.227
2015,124,Mauritania,"Sub-Saharan Africa",4.436,0.454,0.869,0.359,0.242,0.175,0.219
2017,135,Niger,"Sub-Saharan Africa",4.028,0.162,0.993,0.269,0.364,0.139,0.229
2016,142,Niger,"Sub-Saharan Africa",3.856,0.133,0.605,0.262,0.38,0.172,0.21
2016,92,Pakistan,"Southern Asia",5.132,0.688,0.261,0.403,0.146,0.139,0.312
2015,108,"Palestinian Territories","Middle East and Northern Africa",4.715,0.599,0.926,0.66,0.245,0.129,0.113
2019,149,Syria,"Middle East and Northern Africa",3.462,0.619,0.378,0.44,0.013,0.141,0.331
2018,150,Syria,"Middle East and Northern Africa",3.462,0.689,0.382,0.539,0.088,0.144,0.376
2017,152,Syria,"Middle East and Northern Africa",3.462,0.777,0.396,0.501,0.082,0.151,0.494
2016,156,Syria,"Middle East and Northern Africa",3.069,0.747,0.149,0.63,0.069,0.172,0.484
2015,156,Syria,"Middle East and Northern Africa",3.006,0.663,0.475,0.722,0.157,0.189,0.472
